date,excellent,fair,good,link,product_id,product_name,rating,reviews
27_Oct_22,356.01,260.99,285.45,https://www.backmarket.co.uk/en-gb/p/iphone-xs-max-256-gb-space-gray-unlocked/1b9e0b33-0869-4ad2-af31-30435d4acb76,iPhone XS Max 256 GB - Space Gray - Unlocked,iPhone XS Max,4.3/5,(138 reviews)
27_Oct_22,809.18,737.71,794.56,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-128-gb-sierra-blue-unlocked/5becd0a2-df06-4ca8-8d3b-b0bb11697fbf,iPhone 13 Pro Max 128 GB - Sierra Blue - Unlocked,iPhone 13 Pro Max,4.5/5,(114 reviews)
27_Oct_22,827.76,739.00,819.99,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-128-gb-graphite-unlocked/fa941fc6-8030-4771-aa55-6669d698d7a4,iPhone 13 Pro Max 128 GB - Graphite - Unlocked,iPhone 13 Pro Max,4.5/5,(114 reviews)
27_Oct_22,145.00,98.99,111.99,https://www.backmarket.co.uk/en-gb/p/iphone-7-128-gb-rose-gold-unlocked/8a889def-c40e-46f6-bdd9-3007afa16a53,iPhone 7 128 GB - Rose Gold - Unlocked,iPhone 7,4.2/5,(286 reviews)
27_Oct_22,838.00,859.00,880.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-128-gb-alpine-green-unlocked/5fc4224f-0179-4e41-b0e3-d88a9ce09611,iPhone 13 Pro Max 128 GB - Alpine Green - Unlocked,iPhone 13 Pro Max,4.5/5,(114 reviews)
27_Oct_22,147.00,84.00,124.00,https://www.backmarket.co.uk/en-gb/p/iphone-7-128-gb-black-unlocked/0db0c960-c786-45e5-b530-2c40be84b0ef,iPhone 7 128 GB - Black - Unlocked,iPhone 7,4.2/5,(286 reviews)
27_Oct_22,219.99,146.21,193.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-64-gb-silver-unlocked/0fdd2e59-8366-44b8-aa48-02738933b397,iPhone 8 Plus 64 GB - Silver - Unlocked,iPhone 8 Plus,4.4/5,(179 reviews)
27_Oct_22,199.05,150.54,170.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-64-gb-gold-unlocked/c1604b3a-f63e-46ca-974d-2eb9ea085b78,iPhone 8 Plus 64 GB - Gold - Unlocked,iPhone 8 Plus,4.4/5,(179 reviews)
27_Oct_22,434.00,342.78,384.34,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-128-gb-blue-unlocked/5f5e9d5b-aff6-4a52-86ac-1aef2e4a9117,iPhone 12 mini 128 GB - Blue - Unlocked,iPhone 12 mini,4.3/5,(180 reviews)
27_Oct_22,589.52,493.25,550.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-mini-128-gb-unlocked/cba4e2f6-9b0d-4fb0-af0d-3e8d9e7ad6ac,iPhone 13 mini 128 GB - Midnight - Unlocked,iPhone 13 mini,4.7/5,(47 reviews)
27_Oct_22,199.62,147.00,225.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-64-gb-space-gray-unlocked/4f28f0c9-3f45-4541-bb3c-a3c4f6054ccb,iPhone 8 Plus 64 GB - Space Gray - Unlocked,iPhone 8 Plus,4.4/5,(179 reviews)
27_Oct_22,421.43,354.16,388.37,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-128-gb-black-unlocked/76cef1d9-d967-4ecd-807f-f1675e2cf26c,iPhone 12 mini 128 GB - Black - Unlocked,iPhone 12 mini,4.3/5,(179 reviews)
27_Oct_22,No data,88.00,99.00,https://www.backmarket.co.uk/en-gb/p/iphone-6s-64-gb-space-gray-unlocked/d9d706a6-b345-4c7e-a668-eafef6399e0d,iPhone 6S 64 GB - Space Gray - Unlocked,iPhone 6S,4.2/5,(78 reviews)
27_Oct_22,739.00,699.00,709.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-256-gb-gold-unlocked/9a6ca30b-05f7-4a92-8165-c701c6913f5d,iPhone 13 Pro 256 GB - Silver - Unlocked,iPhone 13 Pro,4.5/5,(128 reviews)
27_Oct_22,79.00,66.49,75.56,https://www.backmarket.co.uk/en-gb/p/iphone-se-32-gb-silver-unlocked/4b5770e0-25f0-4648-8f46-c33b9b56b81f,iPhone SE 32 GB - Silver - Unlocked,iPhone SE,3.9/5,(158 reviews)
