date,excellent,fair,good,link,product_id,product_name,provider,rating,reviews
31_Oct_22,394.88,336.92,377.05,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-64-gb-midnight-green-unlocked/b62ace87-ab2c-4421-9403-84771de245a5,iPhone 11 Pro Max 64 GB - Midnight Green - Unlocked,iPhone 11 Pro Max,Stock Must Go Ltd,4.2,320
31_Oct_22,419.63,336.92,380.09,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-64-gb-gold-unlocked/e950ab8a-c1b4-4174-807d-98a9db6e2a6c,iPhone 11 Pro Max 64 GB - Gold - Unlocked,iPhone 11 Pro Max,Stock Must Go Ltd,4.2,320
31_Oct_22,213.62,171.00,192.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-64-gb-silver-unlocked/0fdd2e59-8366-44b8-aa48-02738933b397,iPhone 8 Plus 64 GB - Silver - Unlocked,iPhone 8 Plus,GoodBuyTech,4.4,181
31_Oct_22,419.00,369.00,389.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-128-gb-black-unlocked/76cef1d9-d967-4ecd-807f-f1675e2cf26c,iPhone 12 mini 128 GB - Black - Unlocked,iPhone 12 mini,Loop Mobile,4.3,184
31_Oct_22,419.00,346.90,389.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-128-gb-blue-unlocked/5f5e9d5b-aff6-4a52-86ac-1aef2e4a9117,iPhone 12 mini 128 GB - Blue - Unlocked,iPhone 12 mini,Phones Direct UK,4.3,184
31_Oct_22,419.00,369.00,382.96,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-128-gb-productred-unlocked/e604e279-afa7-472e-a42f-ff3dd159ccd4,iPhone 12 mini 128 GB - Red - Unlocked,iPhone 12 mini,Loop Mobile,4.3,184
31_Oct_22,419.00,362.10,389.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-128-gb-white-unlocked/630c0451-cfb9-42f3-b296-f2837e01daeb,iPhone 12 mini 128 GB - White - Unlocked,iPhone 12 mini,Uber Link Ltd,4.3,184
31_Oct_22,479.99,369.00,389.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-128-gb-purple-unlocked/cb7525ec-509f-42e3-a71a-40c1d35cf0eb,iPhone 12 mini 128 GB - Purple - Unlocked,iPhone 12 mini,Loop Mobile,4.3,184
31_Oct_22,267.20,212.94,264.00,https://www.backmarket.co.uk/en-gb/p/iphone-x-256-gb-space-gray-unlocked/b0f759b9-dd02-4763-8c49-b035bb194e04,iPhone X 256 GB - Space Gray - Unlocked,iPhone X,Phones Direct UK,4.2,365
31_Oct_22,250.00,251.00,258.61,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-256-gb-space-gray-unlocked/8acbc29d-48db-4b09-ad4b-23fbf7dbc9b6,iPhone 8 Plus 256 GB - Space Gray - Unlocked,iPhone 8 Plus,Mobile Crazy Limited,4.4,181
31_Oct_22,255.00,251.00,289.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-256-gb-gold-unlocked/0511de96-360f-423f-850a-24c9f98b895d,iPhone 8 Plus 256 GB - Gold - Unlocked,iPhone 8 Plus,Gecko Mobile Shop,4.4,181
31_Oct_22,251.37,199.00,283.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-256-gb-silver-unlocked/022fac51-1801-421f-955e-fb472eebc157,iPhone 8 Plus 256 GB - Silver - Unlocked,iPhone 8 Plus,Rndtech ltd,4.4,180
31_Oct_22,419.00,369.00,389.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-mini-128-gb-green-unlocked/3633babc-f8b0-4f1e-89e3-edd649f279d1,iPhone 12 mini 128 GB - Green - Unlocked,iPhone 12 mini,Loop Mobile,4.3,184
31_Oct_22,Sold out,100.00,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-se-64-gb-rose-gold-unlocked/31ef4eb5-ab2e-464d-8c59-31cefec1329d,iPhone SE 64 GB - Rose Gold - Unlocked,iPhone SE,SmartFoneStoreUK,3.9,162
31_Oct_22,Sold out,129.00,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-se-64-gb-space-gray-unlocked/39f6f9b5-4ce8-4e94-8a2b-b0b7d6781956,iPhone SE 64 GB - Space Gray - Unlocked,iPhone SE,Allied Global Traders,3.9,162
31_Oct_22,298.98,243.00,249.00,https://www.backmarket.co.uk/en-gb/p/iphone-x-256-gb-silver-unlocked/b8743e87-5b9b-4bb4-969a-f7f792b04618,iPhone X 256 GB - Silver - Unlocked,iPhone X,musicMagpie,4.2,365
